Date,Genotype,"Week 1 set or week 2 set? (generation time is 2 weeks, so sets were staggered to have flies out each week)",Wing clipping pattern was matched within treatment or mismatched,Plate # within a batch,"Three-way mating pattern (FC = female CMY chooser, MS = male starch chooser, etc).",Assay start time,AM or PM?,Order,well possition,Copulation initiation time,Copulation end time,Male wing clip,Female wing clip,Mating pattern,Male diet treatment,Female diet treatment,Type of mating pattern,Binary assortative/disassortative,Loder,Loader,Data recorder,Copulation latency,Latency as integer,Copulation duration,Duration as integer
4/17/14,Canton s,1,matched,1,FC,9:09:00,am,3,NA,9:18,9:39,L,R,disassortative,starch,cmy,CxS,0,NA,NA,NA,0:09:00,0:21:00,9,21
4/17/14,Canton s,1,matched,1,FC,9:09:00,am,4,NA,9:20,9:37,L,R,disassortative,starch,cmy,CxS,0,NA,NA,NA,0:11:00,0:17:00,11,17
4/17/14,Canton s,1,matched,1,FC,9:09:00,am,9,NA,9:22,9:41,L,R,disassortative,starch,cmy,CxS,0,NA,NA,NA,0:13:00,0:19:00,13,19
4/17/14,Canton s,1,matched,1,FC,9:09:00,am,13,NA,9:30,9:50,L,R,disassortative,starch,cmy,CxS,0,NA,NA,NA,0:21:00,0:20:00,21,20
4/17/14,Canton s,1,matched,1,FC,9:09:00,am,14,NA,9:32,9:53,L,R,disassortative,starch,cmy,CxS,0,NA,NA,NA,0:23:00,0:21:00,23,21
4/17/14,Canton s,1,matched,1,FC,9:09:00,am,18,NA,9:37,10:00,L,R,disassortative,starch,cmy,CxS,0,NA,NA,NA,0:28:00,0:23:00,28,23
4/17/14,Canton s,1,matched,1,FC,9:09:00,am,22,NA,10:03,10:26,L,R,disassortative,starch,cmy,CxS,0,NA,NA,NA,0:54:00,0:23:00,54,23
4/17/14,Canton s,1,matched,2,FC,9:18:00,am,1,NA,9:28,9:47,L,R,disassortative,starch,cmy,CxS,0,NA,NA,NA,0:10:00,0:19:00,10,19
4/17/14,Canton s,1,matched,2,FC,9:18:00,am,2,NA,9:29,9:42,L,R,disassortative,starch,cmy,CxS,0,NA,NA,NA,0:11:00,0:13:00,11,13
4/17/14,Canton s,1,matched,2,FC,9:18:00,am,4,NA,9:31,9:53,L,R,disassortative,starch,cmy,CxS,0,NA,NA,NA,0:13:00,0:22:00,13,22
4/17/14,Canton s,1,matched,2,FC,9:18:00,am,5,NA,9:33,9:53,L,R,disassortative,starch,cmy,CxS,0,NA,NA,NA,0:15:00,0:20:00,15,20
4/17/14,Canton s,1,matched,2,FC,9:18:00,am,12,NA,9:40,10:06,L,R,disassortative,starch,cmy,CxS,0,NA,NA,NA,0:22:00,0:26:00,22,26
4/17/14,Canton s,1,matched,2,FC,9:18:00,am,14,NA,9:46,10:04,L,R,disassortative,starch,cmy,CxS,0,NA,NA,NA,0:28:00,0:18:00,28,18
4/24/14,Canton s,2,matched,5,FC,10:10:00,am,1,D5,10:13,10:34,L,L,assortative,cmy,cmy,cmy,1,NA,NA,NA,0:03:00,0:21:00,3,21
4/24/14,Canton s,2,matched,5,FC,10:10:00,am,2,B2,10:17,10:32,L,L,assortative,cmy,cmy,cmy,1,NA,NA,NA,0:07:00,0:15:00,7,15
4/24/14,Canton s,2,matched,5,FC,10:10:00,am,4,D1?,10:17,10:36,L,L,assortative,cmy,cmy,cmy,1,NA,NA,NA,0:07:00,0:19:00,7,19
4/24/14,Canton s,2,matched,5,FC,10:10:00,am,8,D3,10:23,10:39,L,L,assortative,cmy,cmy,cmy,1,NA,NA,NA,0:13:00,0:16:00,13,16
4/24/14,Canton s,2,matched,5,FC,10:10:00,am,15,B4,10:37,10:51,L,L,assortative,cmy,cmy,cmy,1,NA,NA,NA,0:27:00,0:14:00,27,14
4/24/14,Canton s,2,matched,5,FC,10:10:00,am,16,C1,10:38,10:54,L,L,assortative,cmy,cmy,cmy,1,NA,NA,NA,0:28:00,0:16:00,28,16
4/24/14,Canton s,2,matched,5,FC,10:10:00,am,18,D3 OR B1,10:41,11:02,L,L,assortative,cmy,cmy,cmy,1,NA,NA,NA,0:31:00,0:21:00,31,21
4/24/14,Canton s,2,matched,5,FC,10:10:00,am,20,B5,10:53,11:09,L,L,assortative,cmy,cmy,cmy,1,NA,NA,NA,0:43:00,0:16:00,43,16
4/24/14,Canton s,2,matched,6,FC,10:08:00,am,1,A5,10:08,10:21,L,L,assortative,cmy,cmy,cmy,1,NA,NA,NA,0:00:00,0:13:00,0,13
4/24/14,Canton s,2,matched,6,FC,10:08:00,am,2,A2,10:08,10:21,L,L,assortative,cmy,cmy,cmy,1,NA,NA,NA,0:00:00,0:13:00,0,13
4/24/14,Canton s,2,matched,6,FC,10:08:00,am,8,A4,10:46,11:08,L,L,assortative,cmy,cmy,cmy,1,NA,NA,NA,0:38:00,0:22:00,38,22
4/24/14,Canton s,2,matched,6,FC,10:08:00,am,9,B6,10:49,11:07,L,L,assortative,cmy,cmy,cmy,1,NA,NA,NA,0:41:00,0:18:00,41,18
4/24/14,Canton s,2,matched,6,FC,10:08:00,am,10,B3,11:00,11:18,L,L,assortative,cmy,cmy,cmy,1,NA,NA,NA,0:52:00,0:18:00,52,18
4/24/14,Canton s,2,matched,5,FC,10:10:00,am,3,D2,10:17,10:36,R,L,disassortative,starch,cmy,CxS,0,NA,NA,NA,0:07:00,0:19:00,7,19
4/24/14,Canton s,2,matched,5,FC,10:10:00,am,5,A3,10:17,10:39,R,L,disassortative,starch,cmy,CxS,0,NA,NA,NA,0:07:00,0:22:00,7,22
4/24/14,Canton s,2,matched,5,FC,10:10:00,am,6,A5,10:20,10:37,R,L,disassortative,starch,cmy,CxS,0,NA,NA,NA,0:10:00,0:17:00,10,17
4/24/14,Canton s,2,matched,5,FC,10:10:00,am,7,B6,10:21,10:39,R,L,disassortative,starch,cmy,CxS,0,NA,NA,NA,0:11:00,0:18:00,11,18
4/24/14,Canton s,2,matched,5,FC,10:10:00,am,9,A2,10:25,10:43,R,L,disassortative,starch,cmy,CxS,0,NA,NA,NA,0:15:00,0:18:00,15,18
4/24/14,Canton s,2,matched,5,FC,10:10:00,am,10,B3,10:26,10:38,R,L,disassortative,starch,cmy,CxS,0,NA,NA,NA,0:16:00,0:12:00,16,12
4/24/14,Canton s,2,matched,5,FC,10:10:00,am,11,A4,10:26,10:42,R,L,disassortative,starch,cmy,CxS,0,NA,NA,NA,0:16:00,0:16:00,16,16
4/24/14,Canton s,2,matched,5,FC,10:10:00,am,12,C4,10:27,10:39,R,L,disassortative,starch,cmy,CxS,0,NA,NA,NA,0:17:00,0:12:00,17,12
4/24/14,Canton s,2,matched,5,FC,10:10:00,am,13,D3 OR B1,10:32,10:51,R,L,disassortative,starch,cmy,CxS,0,NA,NA,NA,0:22:00,0:19:00,22,19
4/24/14,Canton s,2,matched,5,FC,10:10:00,am,14,A6,10:33,10:53,R,L,disassortative,starch,cmy,CxS,0,NA,NA,NA,0:23:00,0:20:00,23,20
4/24/14,Canton s,2,matched,5,FC,10:10:00,am,17,C2,10:40,11:00,R,L,disassortative,starch,cmy,CxS,0,NA,NA,NA,0:30:00,0:20:00,30,20
4/24/14,Canton s,2,matched,5,FC,10:10:00,am,19,A1,10:44,11:02,R,L,disassortative,starch,cmy,CxS,0,NA,NA,NA,0:34:00,0:18:00,34,18
4/24/14,Canton s,2,matched,6,FC,10:08:00,am,3,A3,10:17,10:30,R,L,disassortative,starch,cmy,CxS,0,NA,NA,NA,0:09:00,0:13:00,9,13
4/24/14,Canton s,2,matched,6,FC,10:08:00,am,4,A6,10:20,10:39,R,L,disassortative,starch,cmy,CxS,0,NA,NA,NA,0:12:00,0:19:00,12,19
4/24/14,Canton s,2,matched,6,FC,10:08:00,am,5,B1,10:25,10:50,R,L,disassortative,starch,cmy,CxS,0,NA,NA,NA,0:17:00,0:25:00,17,25
4/24/14,Canton s,2,matched,6,FC,10:08:00,am,6,B2,10:28,10:42,R,L,disassortative,starch,cmy,CxS,0,NA,NA,NA,0:20:00,0:14:00,20,14
4/24/14,Canton s,2,matched,6,FC,10:08:00,am,7,A1,10:36,10:55,R,L,disassortative,starch,cmy,CxS,0,NA,NA,NA,0:28:00,0:19:00,28,19
5/1/14,Canton s,1,matched,1,FC,9:28:00,am,1,,9:37,9:50,R,R,assortative,cmy,cmy,cmy,1,NA,NA,NA,0:09:00,0:13:00,9,13
5/1/14,Canton s,1,matched,1,FC,9:28:00,am,2,,9:38,9:50,R,R,assortative,cmy,cmy,cmy,1,NA,NA,NA,0:10:00,0:12:00,10,12
5/1/14,Canton s,1,matched,1,FC,9:28:00,am,4,,9:41,10:05,R,R,assortative,cmy,cmy,cmy,1,NA,NA,NA,0:13:00,0:24:00,13,24
5/1/14,Canton s,1,matched,1,FC,9:28:00,am,5,,9:42,10:06,R,R,assortative,cmy,cmy,cmy,1,NA,NA,NA,0:14:00,0:24:00,14,24
5/1/14,Canton s,1,matched,1,FC,9:28:00,am,9,,9:52,10:11,R,R,assortative,cmy,cmy,cmy,1,NA,NA,NA,0:24:00,0:19:00,24,19
5/1/14,Canton s,1,matched,1,FC,9:28:00,am,11,,10:02,10:22,R,R,assortative,cmy,cmy,cmy,1,NA,NA,NA,0:34:00,0:20:00,34,20
5/1/14,Canton s,1,matched,1,FC,9:28:00,am,13,,10:10,10:26,R,R,assortative,cmy,cmy,cmy,1,NA,NA,NA,0:42:00,0:16:00,42,16
5/1/14,Canton s,1,matched,2,FC,9:36:00,am,3,,9:43,10:04,R,R,assortative,cmy,cmy,cmy,1,NA,NA,NA,0:07:00,0:21:00,7,21
5/1/14,Canton s,1,matched,2,FC,9:36:00,am,6,,9:45,10:03,R,R,assortative,cmy,cmy,cmy,1,NA,NA,NA,0:09:00,0:18:00,9,18
5/1/14,Canton s,1,matched,2,FC,9:36:00,am,9,,9:48,10:05,R,R,assortative,cmy,cmy,cmy,1,NA,NA,NA,0:12:00,0:17:00,12,17
5/1/14,Canton s,1,matched,2,FC,9:36:00,am,11,,9:54,10:10,R,R,assortative,cmy,cmy,cmy,1,NA,NA,NA,0:18:00,0:16:00,18,16
5/1/14,Canton s,1,matched,2,FC,9:36:00,am,14,,9:57,10:17,R,R,assortative,cmy,cmy,cmy,1,NA,NA,NA,0:21:00,0:20:00,21,20
5/1/14,Canton s,1,matched,2,FC,9:36:00,am,15,,10:00,10:21,R,R,assortative,cmy,cmy,cmy,1,NA,NA,NA,0:24:00,0:21:00,24,21
5/1/14,Canton s,1,matched,2,FC,9:36:00,am,17,,10:30,10:51,R,R,assortative,cmy,cmy,cmy,1,NA,NA,NA,0:54:00,0:21:00,54,21
5/1/14,Canton s,1,matched,1,FC,9:28:00,am,3,,9:38,9:56,L,R,disassortative,starch,cmy,CxS,0,NA,NA,NA,0:10:00,0:18:00,10,18
5/1/14,Canton s,1,matched,1,FC,9:28:00,am,6,,9:46,10:11,L,R,disassortative,starch,cmy,CxS,0,NA,NA,NA,0:18:00,0:25:00,18,25
5/1/14,Canton s,1,matched,1,FC,9:28:00,am,7,,9:49,10:10,L,R,disassortative,starch,cmy,CxS,0,NA,NA,NA,0:21:00,0:21:00,21,21
5/1/14,Canton s,1,matched,1,FC,9:28:00,am,8,,9:50,10:13,L,R,disassortative,starch,cmy,CxS,0,NA,NA,NA,0:22:00,0:23:00,22,23
5/1/14,Canton s,1,matched,1,FC,9:28:00,am,10,,9:53,10:15,L,R,disassortative,starch,cmy,CxS,0,NA,NA,NA,0:25:00,0:22:00,25,22
5/1/14,Canton s,1,matched,1,FC,9:28:00,am,12,,10:02,10:22,L,R,disassortative,starch,cmy,CxS,0,NA,NA,NA,0:34:00,0:20:00,34,20
5/1/14,Canton s,1,matched,1,FC,9:28:00,am,14,,10:27,10:47,L,R,disassortative,starch,cmy,CxS,0,NA,NA,NA,0:59:00,0:20:00,59,20
5/1/14,Canton s,1,matched,2,FC,9:36:00,am,1,,9:40,10:01,L,R,disassortative,starch,cmy,CxS,0,NA,NA,NA,0:04:00,0:21:00,4,21
5/1/14,Canton s,1,matched,2,FC,9:36:00,am,2,,9:40,10:00,L,R,disassortative,starch,cmy,CxS,0,NA,NA,NA,0:04:00,0:20:00,4,20
5/1/14,Canton s,1,matched,2,FC,9:36:00,am,4,,9:43,10:01,L,R,disassortative,starch,cmy,CxS,0,NA,NA,NA,0:07:00,0:18:00,7,18
5/1/14,Canton s,1,matched,2,FC,9:36:00,am,5,,9:44,10:01,L,R,disassortative,starch,cmy,CxS,0,NA,NA,NA,0:08:00,0:17:00,8,17
5/1/14,Canton s,1,matched,2,FC,9:36:00,am,7,,9:46,10:03,L,R,disassortative,starch,cmy,CxS,0,NA,NA,NA,0:10:00,0:17:00,10,17
5/1/14,Canton s,1,matched,2,FC,9:36:00,am,8,,9:47,10:05,L,R,disassortative,starch,cmy,CxS,0,NA,NA,NA,0:11:00,0:18:00,11,18
