date,genotype,Number of males held together before assay,Wing clipping pattern was matched within treatment or mismatched,"Week 1 set or week 2 set? (generation time is 2 weeks, so sets were staggered to have flies out each week)",Plate # within a batch,Assay start time,AM or PM?,Order of mating within a plate,Well position,Copulation initiation time (first pair to mate),Copulation end time (first pair to mate),Male wing clip  (first pair to mate),Female wing clip (first pair to mate),Mating pattern (first pair to mate),Treatment of first female to mate,Treatment of first male to mate,"Diet treatment of first mating pair, (female x male)",Binary: assortative or no?,Loader,Loader,Data recorder,Copulation latency,Latency as integer,Copulation duration,Duration as integer
3/14/13,allRAL,10,matched,2,3,10:42:00,am,NA,C2,11:03:00,NA,L,R,disassortative,CMY,Starch,CxS,0,NA,NA,Veronica,0:21:00,21.00,#VALUE!,#VALUE!
3/14/13,allRAL,10,matched,2,3,10:42:00,am,NA,C5,11:18:00,NA,L,R,disassortative,CMY,Starch,CxS,0,NA,NA,Veronica,0:36:00,36.00,#VALUE!,#VALUE!
3/14/13,allRAL,10,matched,2,1,10:27:00,am,NA,D3,10:43:00,10:51:00,both mating assortative,,assortative,NA,NA,NA,1,NA,NA,Mike,0:16:00,16.00,0:08:00,8.00
3/14/13,allRAL,10,matched,2,2,10:34:00,am,NA,D5,10:54:00,NA,both mating assortative,,assortative,NA,NA,NA,1,NA,NA,Ali,0:20:00,20.00,#VALUE!,#VALUE!
3/14/13,allRAL,10,matched,2,1,10:27:00,am,NA,B3,10:47:00,10:55:00,R,L,disassortative,Starch,CMY,SxC,0,NA,NA,Mike,0:20:00,20.00,0:08:00,8.00
3/14/13,allRAL,10,matched,2,1,10:27:00,am,NA,A3,10:47:00,10:55:00,R,L,disassortative,Starch,CMY,SxC,0,NA,NA,Mike,0:20:00,20.00,0:08:00,8.00
3/14/13,allRAL,10,matched,2,1,10:27:00,am,NA,A6,10:51:00,10:55:00,R,L,disassortative,Starch,CMY,SxC,0,NA,NA,Mike,0:24:00,24.00,0:04:00,4.00
3/14/13,allRAL,10,matched,2,1,10:27:00,am,NA,A1,10:55:00,10:59:00,R,L,disassortative,Starch,CMY,SxC,0,NA,NA,Mike,0:28:00,28.00,0:04:00,4.00
3/14/13,allRAL,10,matched,2,1,10:27:00,am,NA,D1,10:59:00,11:07:00,R,L,disassortative,Starch,CMY,SxC,0,NA,NA,Mike,0:32:00,32.00,0:08:00,8.00
3/14/13,allRAL,10,matched,2,2,10:34:00,am,NA,B2,11:11:00,NA,R,L,disassortative,Starch,CMY,SxC,0,NA,NA,Ali,0:37:00,37.00,#VALUE!,#VALUE!
3/14/13,allRAL,10,matched,2,3,10:42:00,am,NA,B2,10:58:00,NA,R,L,disassortative,Starch,CMY,SxC,0,NA,NA,Veronica,0:16:00,16.00,#VALUE!,#VALUE!
3/14/13,allRAL,10,matched,2,3,10:42:00,am,NA,D1,11:03:00,NA,R,L,disassortative,Starch,CMY,SxC,0,NA,NA,Veronica,0:21:00,21.00,#VALUE!,#VALUE!
3/14/13,allRAL,10,matched,2,3,10:42:00,am,NA,D2,10:57:00,NA,R,L,disassortative,Starch,CMY,SxC,0,NA,NA,Veronica,0:15:00,15.00,#VALUE!,#VALUE!
3/14/13,allRAL,10,matched,2,3,10:42:00,am,NA,D5,10:50:00,NA,R,L,disassortative,Starch,CMY,SxC,0,NA,NA,Veronica,0:08:00,8.00,#VALUE!,#VALUE!
3/14/13,allRAL,10,matched,2,4,10:45:00,am,NA,D2,11:01:00,11:29:00,R,L,disassortative,Starch,CMY,SxC,0,NA,NA,Michael,0:16:00,16.00,0:28:00,28.00
3/14/13,allRAL,10,matched,2,4,10:45:00,am,NA,C5,11:20:00,11:24:00,R,L,disassortative,Starch,CMY,SxC,0,NA,NA,Michael,0:35:00,35.00,0:04:00,4.00
3/14/13,allRAL,10,matched,2,1,10:27:00,am,NA,A6,10:59:00,11:07:00,L,L,assortative,Starch,Starch,Starch,1,NA,NA,Mike,0:32:00,32.00,0:08:00,8.00
3/14/13,allRAL,10,matched,2,2,10:34:00,am,NA,A3,10:55:00,10:59:00,L,L,assortative,Starch,Starch,Starch,1,NA,NA,Ali,0:21:00,21.00,0:04:00,4.00
3/14/13,allRAL,10,matched,2,2,10:34:00,am,NA,A2,11:21:00,NA,L,L,assortative,Starch,Starch,Starch,1,NA,NA,Ali,0:47:00,47.00,#VALUE!,#VALUE!
3/14/13,allRAL,10,matched,2,2,10:34:00,am,NA,C2,11:00:00,NA,L,L,assortative,Starch,Starch,Starch,1,NA,NA,Ali,0:26:00,26.00,#VALUE!,#VALUE!
3/14/13,allRAL,10,matched,2,2,10:34:00,am,NA,C4,11:05:00,11:24:00,L,L,assortative,Starch,Starch,Starch,1,NA,NA,Ali,0:31:00,31.00,0:19:00,19.00
3/14/13,allRAL,10,matched,2,2,10:34:00,am,NA,D6,11:10:00,NA,L,L,assortative,Starch,Starch,Starch,1,NA,NA,Ali,0:36:00,36.00,#VALUE!,#VALUE!
3/14/13,allRAL,10,matched,2,3,10:42:00,am,NA,A1,10:59:00,NA,L,L,assortative,Starch,Starch,Starch,1,NA,NA,Veronica,0:17:00,17.00,#VALUE!,#VALUE!
3/14/13,allRAL,10,matched,2,3,10:42:00,am,NA,A6,10:56:00,NA,L,L,assortative,Starch,Starch,Starch,1,NA,NA,Veronica,0:14:00,14.00,#VALUE!,#VALUE!
3/14/13,allRAL,10,matched,2,3,10:42:00,am,NA,C3,10:50:00,NA,L,L,assortative,Starch,Starch,Starch,1,NA,NA,Veronica,0:08:00,8.00,#VALUE!,#VALUE!
3/14/13,allRAL,10,matched,2,3,10:42:00,am,NA,C4,11:29:00,NA,L,L,assortative,Starch,Starch,Starch,1,NA,NA,Veronica,0:47:00,47.00,#VALUE!,#VALUE!
3/14/13,allRAL,10,matched,2,4,10:45:00,am,NA,A2,10:57:00,NA,L,L,assortative,Starch,Starch,Starch,1,NA,NA,Michael,0:12:00,12.00,#VALUE!,#VALUE!
3/14/13,allRAL,10,matched,2,4,10:45:00,am,NA,B4,11:08:00,11:12:00,L,L,assortative,Starch,Starch,Starch,1,NA,NA,Michael,0:23:00,23.00,0:04:00,4.00
3/14/13,Canton-S,10,matched,2,6,10:35:00,am,1,C3,10:47:00,10:51:00,L,L,assortative,Starch,Starch,Starch,1,NA,NA,Michael,0:12:00,12.00,0:04:00,4.00
3/21/13,allRAL,10,matched,1,1,9:52:00,am,11,A5,10:05:00,NA,L,L,assortative,CMY,CMY,CMY,1,Michael and Veronica,NA,Michael,0:13:00,13.00,#VALUE!,#VALUE!
3/21/13,allRAL,10,matched,1,1,9:52:00,am,17,D3,10:13:00,NA,L,L,assortative,CMY,CMY,CMY,1,Michael and Veronica,NA,Michael,0:21:00,21.00,#VALUE!,#VALUE!
3/21/13,allRAL,10,matched,1,1,9:52:00,am,6,D3,10:01:00,NA,R,L,disassortative,CMY,Starch,CxS,0,Michael and Veronica,NA,Michael,0:09:00,9.00,#VALUE!,#VALUE!
3/21/13,allRAL,10,matched,1,1,9:52:00,am,13,B5,10:06:00,NA,R,L,disassortative,CMY,Starch,CxS,0,Michael and Veronica,NA,Michael,0:14:00,14.00,#VALUE!,#VALUE!
3/21/13,allRAL,10,matched,1,1,9:52:00,am,19,B3,10:30:00,NA,R,L,disassortative,CMY,Starch,CxS,0,Michael and Veronica,NA,Michael,0:38:00,38.00,#VALUE!,#VALUE!
3/21/13,allRAL,10,matched,1,1,9:52:00,am,1,C1,9:55:00,NA,L,R,disassortative,Starch,CMY,SxC,0,Michael and Veronica,NA,Michael,0:03:00,3.00,#VALUE!,#VALUE!
3/21/13,allRAL,10,matched,1,1,9:52:00,am,2,B6,9:57:00,NA,L,R,disassortative,Starch,CMY,SxC,0,Michael and Veronica,NA,Michael,0:05:00,5.00,#VALUE!,#VALUE!
3/21/13,allRAL,10,matched,1,1,9:52:00,am,5,D1,9:59:00,NA,L,R,disassortative,Starch,CMY,SxC,0,Michael and Veronica,NA,Michael,0:07:00,7.00,#VALUE!,#VALUE!
3/21/13,allRAL,10,matched,1,1,9:52:00,am,7,D4,10:02:00,NA,L,R,disassortative,Starch,CMY,SxC,0,Michael and Veronica,NA,Michael,0:10:00,10.00,#VALUE!,#VALUE!
3/21/13,allRAL,10,matched,1,1,9:52:00,am,15,C6,10:09:00,NA,L,R,disassortative,Starch,CMY,SxC,0,Michael and Veronica,NA,Michael,0:17:00,17.00,#VALUE!,#VALUE!
3/21/13,allRAL,10,matched,1,1,9:52:00,am,18,B4,10:21:00,NA,L,R,disassortative,Starch,CMY,SxC,0,Michael and Veronica,NA,Michael,0:29:00,29.00,#VALUE!,#VALUE!
3/21/13,allRAL,10,matched,1,1,9:52:00,am,3,C5,9:58:00,NA,R,R,assortative,Starch,Starch,Starch,1,Michael and Veronica,NA,Michael,0:06:00,6.00,#VALUE!,#VALUE!
3/21/13,allRAL,10,matched,1,1,9:52:00,am,4,A1,9:59:00,NA,R,R,assortative,Starch,Starch,Starch,1,Michael and Veronica,NA,Michael,0:07:00,7.00,#VALUE!,#VALUE!
3/21/13,allRAL,10,matched,1,1,9:52:00,am,8,D5,10:03:00,NA,R,R,assortative,Starch,Starch,Starch,1,Michael and Veronica,NA,Michael,0:11:00,11.00,#VALUE!,#VALUE!
3/21/13,allRAL,10,matched,1,1,9:52:00,am,9,D2,10:03:00,NA,R,R,assortative,Starch,Starch,Starch,1,Michael and Veronica,NA,Michael,0:11:00,11.00,#VALUE!,#VALUE!
3/21/13,allRAL,10,matched,1,1,9:52:00,am,10,D6,10:03:00,NA,R,R,assortative,Starch,Starch,Starch,1,Michael and Veronica,NA,Michael,0:11:00,11.00,#VALUE!,#VALUE!
3/21/13,allRAL,10,matched,1,1,9:52:00,am,12,A2,10:05:00,NA,R,R,assortative,Starch,Starch,Starch,1,Michael and Veronica,NA,Michael,0:13:00,13.00,#VALUE!,#VALUE!
3/21/13,allRAL,10,matched,1,1,9:52:00,am,14,C4,10:08:00,NA,R,R,assortative,Starch,Starch,Starch,1,Michael and Veronica,NA,Michael,0:16:00,16.00,#VALUE!,#VALUE!
3/21/13,allRAL,10,matched,1,3,15:11:00,pm,3,B1,15:21:00,NA,L,L,assortative,CMY,CMY,CMY,1,Michael and Mike,NA,Michael,0:10:00,10.00,#VALUE!,#VALUE!
3/21/13,allRAL,10,matched,1,3,15:11:00,pm,7,A4,15:37:00,NA,L,L,assortative,CMY,CMY,CMY,1,Michael and Mike,NA,Michael,0:26:00,26.00,#VALUE!,#VALUE!
3/21/13,allRAL,10,matched,1,3,15:11:00,pm,9,A3,15:48:00,NA,L,L,assortative,CMY,CMY,CMY,1,Michael and Mike,NA,Michael,0:37:00,37.00,#VALUE!,#VALUE!
3/21/13,allRAL,10,matched,1,3,15:11:00,pm,1,B3,15:17:00,NA,R, L,disassortative,CMY,Starch,CxS,0,Michael and Mike,NA,Michael,0:06:00,6.00,#VALUE!,#VALUE!
3/21/13,allRAL,10,matched,1,3,15:11:00,pm,5,B2,15:26:00,NA,R, L,disassortative,CMY,Starch,CxS,0,Michael and Mike,NA,Michael,0:15:00,15.00,#VALUE!,#VALUE!
3/21/13,allRAL,10,matched,1,3,15:11:00,pm,6,A6,15:28:00,NA,L,R,disassortative,Starch,CMY,SxC,0,Michael and Mike,NA,Michael,0:17:00,17.00,#VALUE!,#VALUE!
3/21/13,allRAL,10,matched,1,3,15:11:00,pm,8,A5,15:48:00,NA,R,R,assortative,Starch,Starch,Starch,1,Michael and Mike,NA,Michael,0:37:00,37.00,#VALUE!,#VALUE!
3/21/13,Canton-S,10,matched,1,2,9:46:00,am,2,B6,10:09:00,NA,L,L,assortative,CMY,CMY,CMY,1,Michael and Mike,NA,Robbie and Michael,0:23:00,23.00,#VALUE!,#VALUE!
3/21/13,Canton-S,10,matched,1,2,9:46:00,am,5,D4,NA,NA,L,L,assortative,CMY,CMY,CMY,1,Michael and Mike,NA,Robbie and Michael,#VALUE!,#VALUE!,#VALUE!,#VALUE!
